client_id,state,start_time,end_time
EMBOA_GUT_S01,eda_max_high,5,10
EMBOA_GUT_S01,eda_medium,5,10
EMBOA_GUT_S01,hr_low,5,10
EMBOA_GUT_S01,eda_std_high,5,15
EMBOA_GUT_S01,emo_neutral,5,25
EMBOA_GUT_S01,temp_low,5,75
EMBOA_GUT_S01,eda_high,10,15
EMBOA_GUT_S01,eda_max_high,10,15
EMBOA_GUT_S01,hr_high,10,15
EMBOA_GUT_S01,eda_high,15,20
EMBOA_GUT_S01,eda_max_high,15,20
EMBOA_GUT_S01,hr_medium,15,20
EMBOA_GUT_S01,eda_std_high,15,25
EMBOA_GUT_S01,eda_high,20,25
EMBOA_GUT_S01,eda_max_high,20,25
EMBOA_GUT_S01,hr_high,20,25
EMBOA_GUT_S01,eda_high,25,30
EMBOA_GUT_S01,eda_max_high,25,30
EMBOA_GUT_S01,eda_std_medium,25,30
EMBOA_GUT_S01,emo_excited,25,30
EMBOA_GUT_S01,hr_medium,25,30
EMBOA_GUT_S01,eda_max_medium,30,35
EMBOA_GUT_S01,eda_medium,30,35
EMBOA_GUT_S01,hr_high,30,35
EMBOA_GUT_S01,eda_std_high,30,40
EMBOA_GUT_S01,emo_neutral,30,70
EMBOA_GUT_S01,eda_max_medium,35,40
EMBOA_GUT_S01,eda_medium,35,40
EMBOA_GUT_S01,hr_high,35,40
EMBOA_GUT_S01,eda_high,40,45
EMBOA_GUT_S01,eda_max_high,40,45
EMBOA_GUT_S01,eda_std_medium,40,45
EMBOA_GUT_S01,hr_high,40,90
EMBOA_GUT_S01,eda_max_medium,45,50
EMBOA_GUT_S01,eda_medium,45,50
EMBOA_GUT_S01,eda_std_high,45,60
EMBOA_GUT_S01,eda_high,50,55
EMBOA_GUT_S01,eda_max_high,50,55
EMBOA_GUT_S01,eda_max_medium,55,60
EMBOA_GUT_S01,eda_medium,55,60
EMBOA_GUT_S01,eda_high,60,65
EMBOA_GUT_S01,eda_max_high,60,65
EMBOA_GUT_S01,eda_std_medium,60,65
EMBOA_GUT_S01,eda_high,65,70
EMBOA_GUT_S01,eda_max_high,65,70
EMBOA_GUT_S01,eda_std_high,65,80
EMBOA_GUT_S01,eda_max_medium,70,75
EMBOA_GUT_S01,eda_medium,70,75
EMBOA_GUT_S01,emo_neutral,70,75
EMBOA_GUT_S01,eda_high,75,80
EMBOA_GUT_S01,eda_max_high,75,80
EMBOA_GUT_S01,temp_low,75,80
EMBOA_GUT_S01,emo_neutral,75,85
EMBOA_GUT_S01,eda_high,80,85
EMBOA_GUT_S01,eda_max_high,80,85
EMBOA_GUT_S01,eda_std_medium,80,85
EMBOA_GUT_S01,temp_low,80,85
EMBOA_GUT_S01,eda_high,85,90
EMBOA_GUT_S01,emo_content,85,90
EMBOA_GUT_S01,temp_low,85,90
EMBOA_GUT_S01,eda_std_high,85,100
EMBOA_GUT_S01,eda_max_high,85,345
EMBOA_GUT_S01,eda_high,90,95
EMBOA_GUT_S01,emo_neutral,90,95
EMBOA_GUT_S01,hr_high,90,95
EMBOA_GUT_S01,temp_low,90,95
EMBOA_GUT_S01,eda_high,95,100
EMBOA_GUT_S01,hr_medium,95,100
EMBOA_GUT_S01,temp_low,95,100
EMBOA_GUT_S01,emo_neutral,95,105
EMBOA_GUT_S01,eda_high,100,105
EMBOA_GUT_S01,eda_std_medium,100,105
EMBOA_GUT_S01,hr_high,100,105
EMBOA_GUT_S01,temp_low,100,105
EMBOA_GUT_S01,eda_medium,105,110
EMBOA_GUT_S01,eda_std_high,105,110
EMBOA_GUT_S01,emo_neutral,105,110
EMBOA_GUT_S01,temp_medium,105,110
EMBOA_GUT_S01,hr_high,105,425
EMBOA_GUT_S01,eda_medium,110,115
EMBOA_GUT_S01,emo_neutral,110,115
EMBOA_GUT_S01,temp_medium,110,115
EMBOA_GUT_S01,eda_std_high,110,120
EMBOA_GUT_S01,temp_low,115,120
EMBOA_GUT_S01,emo_neutral,115,125
EMBOA_GUT_S01,eda_high,115,295
EMBOA_GUT_S01,eda_std_high,120,125
EMBOA_GUT_S01,temp_medium,120,125
EMBOA_GUT_S01,emo_content,125,130
EMBOA_GUT_S01,temp_medium,125,130
EMBOA_GUT_S01,eda_std_high,125,140
EMBOA_GUT_S01,emo_neutral,130,135
EMBOA_GUT_S01,temp_medium,130,135
EMBOA_GUT_S01,emo_neutral,135,140
EMBOA_GUT_S01,temp_medium,135,140
EMBOA_GUT_S01,eda_std_medium,140,145
EMBOA_GUT_S01,emo_content,140,145
EMBOA_GUT_S01,temp_low,140,145
EMBOA_GUT_S01,eda_std_high,145,150
EMBOA_GUT_S01,emo_neutral,145,150
EMBOA_GUT_S01,temp_medium,145,150
