client_id,state,start_time,end_time
EmoWorker_v2_P1,eda_scr_amp_high,1671068344.9646018,1671068349.9646018
EmoWorker_v2_P1,emo_neutral,1671068344.9646018,1671068354.9646018
EmoWorker_v2_P1,eda_peaks_medium,1671068344.9646018,1671068359.9646018
EmoWorker_v2_P1,eda_scr_auc_high,1671068344.9646018,1671068359.9646018
EmoWorker_v2_P1,eda_std_high,1671068344.9646018,1671068359.9646018
EmoWorker_v2_P1,eda_low,1671068344.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_max_low,1671068344.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_scr_amp_medium,1671068349.9646018,1671068354.9646018
EmoWorker_v2_P1,eda_scr_amp_high,1671068354.9646018,1671068359.9646018
EmoWorker_v2_P1,emo_content,1671068354.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_scr_auc_medium,1671068359.9646018,1671068364.9646018
EmoWorker_v2_P1,eda_peaks_high,1671068359.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_scr_amp_medium,1671068359.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_std_medium,1671068359.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_scr_auc_low,1671068364.9646018,1671068369.9646018
EmoWorker_v2_P1,eda_peaks_low,1671068369.9646018,1671068379.9646018
EmoWorker_v2_P1,eda_scr_amp_high,1671068369.9646018,1671068379.9646018
EmoWorker_v2_P1,eda_scr_auc_high,1671068369.9646018,1671068379.9646018
EmoWorker_v2_P1,eda_max_low,1671068369.9646018,1671068384.9646018
EmoWorker_v2_P1,eda_low,1671068369.9646018,1671068394.9646018
EmoWorker_v2_P1,eda_std_high,1671068369.9646018,1671068399.9646018
EmoWorker_v2_P1,emo_content,1671068369.9646018,1671068399.9646018
EmoWorker_v2_P1,eda_scr_amp_medium,1671068379.9646018,1671068384.9646018
EmoWorker_v2_P1,eda_scr_auc_low,1671068379.9646018,1671068384.9646018
EmoWorker_v2_P1,eda_peaks_medium,1671068379.9646018,1671068389.9646018
EmoWorker_v2_P1,eda_max_medium,1671068384.9646018,1671068399.9646018
EmoWorker_v2_P1,eda_scr_amp_high,1671068384.9646018,1671068399.9646018
EmoWorker_v2_P1,eda_scr_auc_high,1671068384.9646018,1671068399.9646018
EmoWorker_v2_P1,eda_peaks_low,1671068389.9646018,1671068404.9646018
EmoWorker_v2_P1,eda_medium,1671068394.9646018,1671068399.9646018
EmoWorker_v2_P1,temp_low,1671068399.9646018,1671068404.9646018
EmoWorker_v2_P1,eda_peaks_medium,1671068404.9646018,1671068409.9646018
EmoWorker_v2_P1,eda_scr_amp_high,1671068404.9646018,1671068409.9646018
EmoWorker_v2_P1,eda_max_high,1671068404.9646018,1671068424.9646018
EmoWorker_v2_P1,eda_scr_auc_high,1671068404.9646018,1671068424.9646018
EmoWorker_v2_P1,eda_medium,1671068404.9646018,1671068429.9646018
EmoWorker_v2_P1,eda_std_high,1671068404.9646018,1671068429.9646018
EmoWorker_v2_P1,emo_content,1671068404.9646018,1671068429.9646018
EmoWorker_v2_P1,eda_peaks_low,1671068409.9646018,1671068414.9646018
EmoWorker_v2_P1,eda_scr_amp_medium,1671068409.9646018,1671068414.9646018
EmoWorker_v2_P1,eda_scr_amp_high,1671068414.9646018,1671068419.9646018
EmoWorker_v2_P1,eda_peaks_medium,1671068414.9646018,1671068429.9646018
EmoWorker_v2_P1,eda_scr_amp_medium,1671068419.9646018,1671068429.9646018
EmoWorker_v2_P1,eda_max_medium,1671068424.9646018,1671068429.9646018
EmoWorker_v2_P1,eda_scr_auc_low,1671068424.9646018,1671068429.9646018
